net,length_um
_0475_,18.98
manchester_baby_instance.ram_data_i_24,18.98
_0419_,18.56
_0169_,18.4
_0268_,18.4
_0400_,18.4
net20,18.2
_0224_,18.14
_0365_,17.94
manchester_baby_instance.ram_data_o_8,17.78
_0131_,17.77
_0236_,17.57
_0243_,17.56
manchester_baby_instance.ram_data_o_23,17.48
_0143_,17.44
_0393_,17.295
_0102_,17.2
_0136_,17.2
_0396_,17.16
_0253_,17.12
_0472_,17.11
net16,16.94
net6,16.88
_0340_,16.84
_0455_,16.76
net15,16.745
_0156_,16.6
_0386_,16.445
_0189_,16.36
_0418_,16.33
_0412_,16.14
_0443_,15.94
_0216_,15.8
_0205_,15.66
_0181_,15.6
manchester_baby_instance.ram_data_i_21,15.52
_0522_,15.39
manchester_baby_instance.ram_data_i_30,15.38
_0525_,15.26
manchester_baby_instance.ram_data_i_9,15.22
_0321_,15.12
_0275_,15.01
_0302_,14.7
_0121_,14.68
_0515_,14.58
_0484_,14.37
_0581_,14.34
_0142_,14.26
_0197_,14.24
_0134_,14.06
_0114_,13.71
_0480_,13.56
_0322_,13.52
_0312_,13.51
manchester_baby_instance.CIRCUIT_0.IR.q\[0\],13.48
_0566_,13.46
_0217_,13.38
manchester_baby_instance.BASE_0.s_tickReg,13.38
_0539_,13.32
_0565_,13.26
_0242_,13.18
_0180_,12.88
_0209_,12.82
_0323_,12.64
_0147_,12.58
_0071_,12.565
_0399_,12.52
_0582_,12.36
_0333_,12.28
_0467_,12.24
_0519_,12.2
_0573_,12.18
_0470_,12.08
_0109_,11.98
_0580_,11.96
manchester_baby_instance.CIRCUIT_0.IR.q\[3\],11.96
_0163_,11.84
_0328_,11.78
_0505_,11.78
_0135_,11.7
_0473_,11.7
_0411_,11.68
ram_addr_o[0],11.68
_0392_,11.66
_0403_,11.58
manchester_baby_instance.CIRCUIT_0.IR.q\[2\],11.54
manchester_baby_instance.CIRCUIT_0.IR.q\[4\],11.44
logisim_clock_tree_0_out,11.22
stop_lamp_o,11.22
_0433_,11.2
_0325_,11.17
_0358_,11.16
_0405_,11.16
_0556_,11.16
_0452_,11.12
_0310_,11.11
_0004_,11.08
_0416_,10.96
_0116_,10.82
_0559_,10.52
_0341_,10.505
_0148_,10.5
_0504_,10.5
_0410_,10.47
_0223_,10.45
_0149_,10.44
_0254_,10.42
_0249_,10.37
_0373_,10.34
_0414_,10.34
_0299_,10.28
_0357_,10.28
_0451_,10.28
_0210_,10.24
_0294_,10.16
_0350_,10.12
_0146_,10.06
_0110_,10.04
_0402_,10.015
_0115_,9.98
_0262_,9.97
_0132_,9.96
_0338_,9.92
_0434_,9.92
_0335_,9.84
_0391_,9.77
_0481_,9.7
_0160_,9.66
_0276_,9.6
_0306_,9.55
_0175_,9.5
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[0\],9.44
_0219_,9.41
_0111_,9.38
_0130_,9.36
_0398_,9.28
_0413_,9.18
_0167_,9.12
_0449_,9.11
_0150_,9.06
_0107_,9
_0124_,9
_0456_,8.97
_0158_,8.9
manchester_baby_instance.CIRCUIT_0.IR.q\[14\],8.88
manchester_baby_instance.ram_data_i_31,8.88
_0422_,8.86
_0228_,8.85
_0490_,8.84
_0176_,8.82
_0421_,8.78
_0126_,8.74
_0296_,8.74
_0157_,8.7
_0578_,8.68
manchester_baby_instance.CIRCUIT_0.IR.q\[13\],8.68
_0225_,8.6
_0053_,8.56
_0436_,8.46
_0117_,8.44
_0245_,8.41
_0554_,8.4
_0177_,8.32
_0370_,8.32
_0577_,8.28
_0206_,8.14
_0417_,8.14
_0379_,8.12
_0583_,8.08
_0141_,8.04
_0346_,8.04
_0159_,8.02
_0395_,8.02
_0482_,8.02
_0226_,7.98
_0385_,7.86
_0347_,7.72
_0491_,7.68
_0293_,7.66
_0257_,7.57
_0297_,7.57
_0273_,7.56
_0309_,7.56
_0376_,7.56
_0521_,7.52
_0221_,7.44
_0458_,7.44
_0260_,7.3
_0359_,7.26
_0407_,7.24
_0292_,7.18
_0320_,7.18
_0517_,7.18
_0542_,7.18
_0371_,7.14
_0406_,7.14
_0287_,7.1
_0408_,7.06
_0503_,7.06
manchester_baby_instance.ram_data_i_2,7.06
net31,6.96
_0165_,6.805
manchester_baby_instance.BASE_0.s_countReg\[1\],6.76
_0082_,6.705
_0074_,6.685
_0138_,6.66
_0464_,6.65
_0250_,6.64
_0492_,6.54
_0049_,6.52
_0324_,6.515
_0094_,6.48
_0462_,6.32
_0076_,6.305
_0255_,6.3
_0280_,6.3
_0326_,6.3
_0544_,6.3
_0586_,6.3
_0431_,6.26
_0075_,6.225
_0258_,6.18
_0349_,6.18
_0415_,6.18
_0498_,6.18
_0453_,6.14
_0564_,6.14
_0587_,6.12
_0283_,6.11
_0454_,6.08
_0105_,6.04
reset_i,5.97
net17,5.9
_0352_,5.86
_0425_,5.86
_0514_,5.84
_0523_,5.84
_0570_,5.84
_0211_,5.82
_0233_,5.82
_0445_,5.8
ram_addr_o[4],5.75
_0215_,5.68
_0485_,5.62
_0151_,5.6
_0568_,5.6
manchester_baby_instance.BASE_1.s_bufferRegs\[0\],5.6
_0031_,5.56
_0471_,5.52
_0000_,5.505
_0263_,5.5
_0366_,5.48
_0428_,5.48
net23,5.46
_0092_,5.38
_0390_,5.38
net21,5.38
_0374_,5.34
_0172_,5.26
_0384_,5.26
_0506_,5.24
_0466_,5.22
_0030_,5.19
_0091_,5.185
_0127_,5.14
_0307_,5.12
_0040_,5.1
ram_addr_o[2],5.07
ram_rw_en_o,5.07
_0502_,5.02
_0585_,5
_0119_,4.92
_0218_,4.92
_0362_,4.92
_0448_,4.92
_0064_,4.9
_0510_,4.9
manchester_baby_instance.CIRCUIT_0.IR.q\[15\],4.9
manchester_baby_instance.CIRCUIT_0.IR.q\[1\],4.895
_0171_,4.88
_0154_,4.8
_0214_,4.8
_0234_,4.76
_0553_,4.76
_0002_,4.73
ram_addr_o[1],4.73
_0046_,4.68
_0508_,4.66
_0301_,4.61
_0518_,4.6
manchester_baby_instance.BASE_0.s_tickNext,4.6
_0088_,4.58
_0113_,4.56
_0558_,4.54
_0207_,4.485
_0125_,4.48
_0560_,4.48
_0079_,4.46
_0567_,4.46
_0496_,4.44
_0284_,4.42
ram_addr_o[3],4.39
_0511_,4.36
_0459_,4.35
_0069_,4.34
_0192_,4.34
_0278_,4.34
_0305_,4.34
_0388_,4.34
_0435_,4.34
_0463_,4.34
_0290_,4.24
_0363_,4.21
_0183_,4.14
_0285_,4.11
_0007_,4.08
net26,4.02
_0087_,4
_0380_,4
_0394_,4
_0444_,4
_0509_,4
net28,4
_0065_,3.98
_0569_,3.98
_0378_,3.9
_0281_,3.88
_0282_,3.88
_0073_,3.78
_0575_,3.76
_0499_,3.68
_0513_,3.68
net8,3.66
_0122_,3.64
_0304_,3.56
manchester_baby_instance.BASE_1.s_counterValue,3.56
_0139_,3.54
_0247_,3.54
_0295_,3.54
_0259_,3.44
_0274_,3.44
_0300_,3.44
_0367_,3.44
_0377_,3.44
_0468_,3.44
_0054_,3.42
_0308_,3.42
_0353_,3.42
_0488_,3.38
_0013_,3.3
_0038_,3.3
_0059_,3.3
net29,3.3
_0487_,3.22
_0563_,3.22
_0050_,3.2
_0179_,3.12
_0099_,3.1
_0120_,3.1
_0552_,3.1
_0061_,3.08
_0067_,3.08
_0070_,3.08
_0089_,3.08
_0238_,3.08
_0348_,3.08
_0465_,3.08
_0497_,3.08
_0500_,3.08
_0540_,3.08
_0584_,3.06
_0034_,3.03
_0200_,2.96
_0351_,2.96
_0009_,2.84
_0015_,2.84
_0021_,2.84
_0047_,2.84
_0048_,2.84
_0095_,2.84
_0576_,2.84
_0329_,2.76
_0058_,2.74
_0062_,2.74
_0068_,2.74
_0086_,2.74
_0100_,2.74
_0342_,2.72
_0014_,2.69
_0022_,2.69
_0042_,2.69
_0044_,2.69
_0097_,2.64
manchester_baby_instance.BASE_1.s_derivedClock,2.64
_0057_,2.62
_0072_,2.62
_0085_,2.62
_0212_,2.62
_0235_,2.62
_0240_,2.62
_0241_,2.62
_0252_,2.62
_0269_,2.62
_0489_,2.62
_0520_,2.62
_0561_,2.62
_0572_,2.62
_0516_,2.6
net14,2.595
_0052_,2.545
_0265_,2.52
_0303_,2.52
_0474_,2.52
_0501_,2.52
_0507_,2.52
_0011_,2.5
_0129_,2.5
_0170_,2.5
_0231_,2.5
_0364_,2.5
_0368_,2.5
_0543_,2.5
net19,2.5
_0277_,2.48
_0256_,2.4
_0330_,2.4
_0003_,2.38
_0006_,2.38
_0008_,2.38
_0019_,2.38
_0562_,2.38
_0164_,2.3
_0227_,2.3
_0271_,2.3
_0051_,2.28
_0055_,2.28
_0056_,2.28
_0066_,2.28
_0077_,2.28
_0080_,2.28
_0096_,2.28
manchester_baby_instance.CIRCUIT_0.MEMORY_44.s_nextCounterValue\[2\],2.28
_0010_,2.23
_0020_,2.23
_0025_,2.23
_0026_,2.23
_0032_,2.23
_0063_,2.18
_0083_,2.18
_0356_,2.18
manchester_baby_instance.CIRCUIT_0.MEMORY_44.s_nextCounterValue\[1\],2.18
_0037_,2.16
_0081_,2.16
_0093_,2.16
_0161_,2.16
_0202_,2.16
_0336_,2.16
_0375_,2.16
_0404_,2.16
_0524_,2.16
_0557_,2.16
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[1\],2.16
_0360_,2.06
_0447_,2.06
_0018_,2.04
_0043_,2.04
_0244_,2.04
_0248_,2.04
_0355_,2.04
_0361_,2.04
_0429_,2.04
_0230_,1.94
_0460_,1.94
net30,1.94
_0145_,1.84
_0237_,1.84
_0246_,1.84
_0266_,1.84
_0001_,1.82
_0024_,1.82
_0027_,1.82
_0029_,1.82
_0035_,1.82
_0041_,1.82
_0078_,1.82
_0084_,1.82
_0090_,1.82
_0541_,1.82
_0036_,1.7
_0045_,1.7
_0060_,1.7
_0098_,1.7
_0123_,1.7
_0201_,1.7
_0222_,1.7
_0270_,1.7
_0288_,1.7
_0327_,1.7
_0430_,1.7
_0479_,1.7
manchester_baby_instance.BASE_0.s_countReg\[0\],1.7
