net,length_um
_0265_,291.82
_0118_,273.9
_0278_,226.72
_0307_,217.19
_0268_,209.53
_0271_,199.16
_0276_,196.51
_0267_,183.4
clknet_2_2__leaf_clock,177.82
clknet_2_3__leaf_clock,174.7
clknet_2_0__leaf_clock,174.26
_0288_,174.1
_0535_,172.18
_0537_,164.23
_0274_,160.87
_0534_,155.3
_0536_,144.385
_0533_,133.56
clknet_2_1__leaf_clock,119.93
net64,116.63
clock,112.53
clknet_0_clock,111.42
net5,107.84
net6,103.4
net12,101.81
_0116_,100.54
net27,100.2
_0104_,99.38
_0117_,93.22
_0275_,91.72
net23,90
_0112_,89.73
net7,88.88
net26,88.62
_0115_,86.54
net21,85.42
net22,82.95
net45,82.52
net8,82.18
net33,81.56
manchester_baby_instance.CIRCUIT_0.IR.q\[14\],81.04
manchester_baby_instance.CIRCUIT_0.Acc.tick,78.54
manchester_baby_instance.CIRCUIT_0.IR.q\[13\],76.16
net44,75.98
net63,75.98
net40,75.68
net24,74.555
net46,72.24
net20,70.675
net47,66.48
net10,65.48
net43,65.4
_0530_,61.98
net31,61.23
net51,60.74
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[3\],60.54
net48,60.34
net60,59.02
net9,58.84
net4,58.76
_0501_,58.74
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[1\],58.7
net61,58.58
_0184_,57.9
net3,57.225
_0129_,56.875
_0481_,56.07
_0531_,55.8
_0492_,55.74
net70,55.32
net32,53.98
net2,52.94
manchester_baby_instance.CIRCUIT_0.IR.q\[15\],52.92
net59,52.7
net67,52.34
net25,51.64
net19,49.76
net62,49.66
net15,49.24
net66,48.925
net73,48.66
manchester_baby_instance.CIRCUIT_0.MEMORY_44.countValue\[1\],48.52
net1,47.92
_0134_,47.88
net16,47.68
net11,47.64
net30,47.28
net58,46.36
net14,45.64
net28,45
_0127_,44.835
_0486_,44.78
net36,44.22
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[2\],44.04
net42,43.68
_0320_,43.2
_0155_,42.76
net55,42.71
manchester_baby_instance.CIRCUIT_0.MEMORY_44.countValue\[0\],42.66
net29,42.5
_0477_,42.445
_0494_,42.32
_0218_,42.26
net35,41.54
net50,41.5
_0464_,41.14
net17,41.14
net69,40.96
net13,40.82
_0197_,40.54
manchester_baby_instance.CIRCUIT_0.MEMORY_44.countValue\[2\],39.3
net37,38.38
_0131_,37.66
net71,37.66
net49,37.62
net72,37.4
_0146_,36.98
_0487_,36.94
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[4\],36.92
_0125_,35.92
net68,35.8
net52,34.9
net56,34.74
_0121_,34.36
net65,33.78
net41,33.48
_0101_,33.14
_0483_,33.14
_0138_,32.96
net18,32.68
_0406_,32.64
net53,32.58
net34,32.48
manchester_baby_instance.CIRCUIT_0.GATES_13.result,30.96
_0140_,29.06
net54,28.44
manchester_baby_instance.CIRCUIT_0.ARITH_38.dataB\[0\],28.38
net57,27.66
net39,27.46
net38,26.9
_0367_,26.22
_0175_,25.6
_0292_,25.28
_0322_,24.82
manchester_baby_instance.CIRCUIT_0.IR.q\[3\],24.28
_0238_,24.04
_0369_,23.74
net77,23.305
_0186_,22.92
_0480_,22.62
_0472_,22.6
_0196_,22.58
_0250_,22.56
_0253_,22.53
_0210_,22.38
_0172_,22.2
_0235_,22.16
_0213_,22.12
_0169_,22.06
_0207_,21.76
_0447_,21.46
_0462_,21.43
_0189_,21.36
_0314_,21.08
_0163_,20.97
_0120_,20.96
_0158_,20.84
_0199_,20.74
_0223_,20.66
_0479_,20.5
_0259_,19.94
_0368_,19.92
_0423_,19.8
_0154_,19.4
_0182_,19.24
_0205_,18.82
_0123_,18.745
_0119_,18.72
_0224_,18.53
_0217_,18.455
_0336_,18.44
_0203_,18.26
_0185_,18.22
_0254_,18.2
_0164_,18.12
_0133_,18.1
_0245_,18.01
_0221_,17.94
_0393_,17.9
_0240_,17.8
manchester_baby_instance.CIRCUIT_0.MEMORY_44.s_nextCounterValue\[0\],17.78
_0180_,17.66
_0216_,17.2
_0161_,17.12
_0241_,17.06
_0170_,16.96
_0502_,16.84
_0344_,16.77
_0270_,16.76
_0343_,16.76
_0524_,16.58
_0135_,16.56
_0525_,16.275
_0302_,16.2
_0335_,16.18
_0463_,16.12
_0132_,15.94
_0174_,15.92
_0496_,15.92
_0283_,15.9
_0229_,15.86
_0293_,15.84
_0431_,15.84
net75,15.78
_0242_,15.52
_0220_,15.4
_0421_,15.4
_0176_,15.36
_0149_,15.18
_0366_,15.04
_0234_,14.92
_0500_,14.76
_0157_,14.72
_0436_,14.59
_0519_,14.56
net78,14.48
_0230_,14.42
_0375_,14.34
_0173_,14.08
_0166_,14
ram_data_o[0],13.98
_0212_,13.92
_0409_,13.84
_0228_,13.82
_0208_,13.67
ram_addr_o[0],13.52
_0160_,13.5
_0440_,13.33
_0128_,13.26
_0410_,13.24
manchester_baby_instance.CIRCUIT_0.IR.q\[1\],13.22
_0143_,13.04
_0455_,13.02
_0200_,12.98
_0226_,12.96
_0337_,12.94
_0227_,12.92
net91,12.84
_0485_,12.8
_0078_,12.76
_0246_,12.68
_0244_,12.6
_0347_,12.52
_0215_,12.46
ram_data_i[31],12.36
_0256_,12.34
_0310_,12.28
_0434_,12.16
_0150_,12.08
_0251_,11.92
_0395_,11.8
_0422_,11.76
_0452_,11.75
ram_addr_o[1],11.68
ram_data_o[31],11.68
ram_rw_en_o,11.68
_0156_,11.64
_0503_,11.64
manchester_baby_instance.CIRCUIT_0.IR.q\[4\],11.6
_0405_,11.58
ram_data_i[15],11.56
_0484_,11.54
_0482_,11.52
_0317_,11.32
_0309_,11.26
_0350_,11.24
clock_o,11.22
stop_lamp_o,11.22
_0294_,11.06
_0122_,10.92
_0181_,10.88
_0178_,10.82
_0194_,10.78
_0388_,10.78
_0382_,10.7
_0052_,10.56
_0258_,10.52
net102,10.5
_0528_,10.46
_0069_,10.3
_0103_,10.2
_0098_,10.165
_0201_,10.06
_0063_,10.02
_0247_,9.96
_0384_,9.84
_0418_,9.7
_0167_,9.62
_0255_,9.62
_0512_,9.62
_0165_,9.6
manchester_baby_instance.BASE_0.s_countReg\[2\],9.6
_0465_,9.58
_0142_,9.48
_0152_,9.48
_0427_,9.36
_0539_,9.34
_0260_,9.32
_0432_,9.32
manchester_baby_instance.BASE_0.s_tickReg,9.24
_0086_,9.2
_0376_,9.2
_0398_,9.16
manchester_baby_instance.CIRCUIT_0.IR.q\[0\],9.16
_0237_,9.12
_0403_,9.12
_0516_,9.005
ram_data_o[19],8.96
_0497_,8.86
ram_data_i[10],8.84
ram_data_i[11],8.84
ram_data_i[14],8.84
_0137_,8.82
_0469_,8.82
_0147_,8.8
_0390_,8.74
_0420_,8.74
ram_data_i[12],8.72
ram_data_i[16],8.72
ram_data_i[17],8.72
ram_data_i[18],8.72
ram_data_i[19],8.72
ram_data_i[9],8.72
_0349_,8.695
_0239_,8.68
_0354_,8.67
net96,8.6
_0168_,8.58
_0443_,8.56
_0397_,8.52
ram_data_o[10],8.5
ram_data_o[11],8.5
ram_data_o[12],8.5
ram_data_o[17],8.5
ram_data_o[18],8.5
ram_data_o[9],8.5
net81,8.46
_0126_,8.44
_0374_,8.44
_0323_,8.36
_0332_,8.36
ram_data_i[8],8.27
ram_addr_o[4],8.25
manchester_baby_instance.CIRCUIT_0.IR.q\[2\],8.24
net83,8.18
ram_data_i[13],8.15
ram_data_i[4],8.15
_0508_,8.06
_0219_,7.98
_0470_,7.925
_0232_,7.82
_0326_,7.78
_0506_,7.78
_0394_,7.74
_0297_,7.68
_0450_,7.66
_0287_,7.62
_0082_,7.6
net93,7.56
_0466_,7.54
_0473_,7.52
_0504_,7.52
