net,length_um
manchester_baby_instance.BASE_0.s_countReg\[0\],7.52
net76,7.445
_0211_,7.4
ram_data_i[5],7.25
_0392_,7.22
_0016_,7.2
_0333_,7.2
_0471_,7.2
_0111_,7.18
_0153_,7.18
_0193_,7.18
_0381_,7.18
ram_addr_o[3],7.13
ram_data_o[1],7.13
ram_data_o[4],7.13
_0145_,7.12
_0371_,7.12
_0108_,7.1
_0378_,7.1
_0262_,7.08
_0222_,7.06
_0478_,7.06
_0345_,7
_0417_,7
_0281_,6.955
_0233_,6.94
_0284_,6.92
ram_data_i[6],6.91
_0252_,6.86
net79,6.86
ram_data_i[2],6.79
_0490_,6.78
ram_data_i[27],6.77
ram_data_i[28],6.77
_0190_,6.76
_0319_,6.76
_0298_,6.74
_0445_,6.73
_0540_,6.72
_0162_,6.66
_0056_,6.64
_0448_,6.64
_0474_,6.6
_0066_,6.4
_0264_,6.4
_0202_,6.36
_0102_,6.32
ram_data_i[20],6.31
_0075_,6.3
_0290_,6.3
_0192_,6.26
_0338_,6.26
manchester_baby_instance.BASE_1.s_counterValue,6.26
_0257_,6.2
_0321_,6.2
_0341_,6.2
_0356_,6.14
_0446_,6.12
ram_data_o[8],6.11
ram_data_i[7],6.09
_0407_,6.08
net100,6.08
_0139_,6.06
_0183_,6.06
_0373_,6.06
_0361_,6.04
ram_data_i[25],5.97
_0085_,5.92
_0009_,5.91
_0031_,5.89
_0324_,5.875
ram_data_o[7],5.87
_0352_,5.86
_0148_,5.84
_0105_,5.8
ram_data_i[3],5.75
ram_data_o[21],5.75
ram_data_o[23],5.75
ram_data_o[29],5.75
_0236_,5.74
_0402_,5.74
_0523_,5.72
net97,5.72
_0019_,5.68
_0456_,5.68
_0476_,5.61
_0282_,5.6
_0013_,5.56
_0041_,5.56
_0357_,5.56
ram_addr_o[2],5.53
ram_data_o[13],5.53
ram_data_o[14],5.53
ram_data_o[2],5.53
ram_data_o[5],5.53
_0331_,5.52
_0396_,5.52
net101,5.52
_0401_,5.5
_0370_,5.48
_0079_,5.46
_0340_,5.44
_0325_,5.38
_0404_,5.38
_0541_,5.38
_0411_,5.36
_0096_,5.34
_0300_,5.34
_0034_,5.33
ram_data_i[30],5.29
_0076_,5.28
_0191_,5.26
_0351_,5.26
_0433_,5.26
net86,5.225
_0391_,5.22
_0304_,5.12
_0360_,5.07
ram_data_i[0],5.07
ram_data_o[20],5.07
ram_data_o[22],5.07
ram_data_o[24],5.07
ram_data_o[25],5.07
ram_data_o[30],5.07
_0467_,5.06
_0206_,5.02
_0089_,5
ram_data_i[21],4.95
ram_data_i[24],4.95
ram_data_i[26],4.95
_0286_,4.94
_0080_,4.92
_0106_,4.92
_0291_,4.9
_0435_,4.9
_0355_,4.88
_0520_,4.88
ram_data_o[3],4.85
ram_data_o[6],4.85
_0454_,4.76
_0313_,4.74
ram_data_i[1],4.73
ram_data_o[15],4.73
_0039_,4.68
_0316_,4.68
_0424_,4.68
net80,4.635
_0385_,4.56
_0029_,4.53
_0071_,4.46
_0461_,4.46
_0522_,4.46
manchester_baby_instance.CIRCUIT_0.MEMORY_44.s_nextCounterValue\[2\],4.46
net92,4.46
_0306_,4.44
_0460_,4.42
ram_data_i[29],4.39
ram_data_o[16],4.39
ram_data_o[26],4.39
ram_data_o[27],4.39
ram_data_o[28],4.39
_0141_,4.36
_0289_,4.36
_0425_,4.36
_0499_,4.36
_0249_,4.34
_0348_,4.34
_0489_,4.34
_0048_,4.27
ram_data_i[23],4.27
net103,4.24
_0033_,4.22
net82,4.165
_0130_,4.14
_0308_,4.02
_0090_,4
_0311_,4
_0342_,4
_0358_,4
net90,3.99
_0269_,3.94
ram_data_i[22],3.93
reset_i,3.93
_0377_,3.9
_0231_,3.88
_0451_,3.88
_0509_,3.88
net84,3.88
_0303_,3.79
_0437_,3.78
_0514_,3.78
net87,3.76
_0386_,3.68
manchester_baby_instance.BASE_0.s_tickNext,3.68
net107,3.68
_0363_,3.66
_0498_,3.66
_0513_,3.66
_0204_,3.64
_0093_,3.56
_0439_,3.56
_0050_,3.54
_0061_,3.54
_0091_,3.54
_0346_,3.54
_0449_,3.54
_0526_,3.54
net95,3.54
_0416_,3.44
_0458_,3.44
_0171_,3.42
_0383_,3.42
_0468_,3.42
_0510_,3.42
net89,3.42
net104,3.42
net105,3.32
_0187_,3.3
_0248_,3.3
_0296_,3.3
net106,3.22
_0051_,3.2
_0058_,3.2
_0064_,3.2
_0065_,3.2
_0068_,3.2
_0209_,3.2
_0266_,3.2
_0444_,3.18
_0453_,3.18
_0020_,3.13
net98,3.1
_0299_,3.08
_0301_,3.08
_0315_,3.08
_0328_,3.08
_0330_,3.08
_0379_,3.08
_0441_,3.08
_0529_,3.08
_0008_,3.03
_0279_,2.98
_0511_,2.98
_0110_,2.96
_0124_,2.96
_0136_,2.96
_0006_,2.89
_0387_,2.87
_0312_,2.86
_0002_,2.84
_0014_,2.84
_0017_,2.84
_0027_,2.84
_0028_,2.84
_0037_,2.84
_0042_,2.84
_0408_,2.84
manchester_baby_instance.CIRCUIT_0.MEMORY_44.s_nextCounterValue\[1\],2.84
_0000_,2.785
_0100_,2.785
_0505_,2.76
_0040_,2.74
_0053_,2.74
_0060_,2.74
_0049_,2.69
_0088_,2.64
_0365_,2.64
net74,2.64
_0077_,2.62
_0081_,2.62
_0151_,2.62
_0214_,2.62
_0339_,2.62
_0389_,2.62
_0429_,2.62
_0430_,2.62
_0442_,2.62
_0491_,2.62
_0095_,2.585
_0362_,2.52
_0114_,2.5
_0188_,2.5
_0261_,2.5
_0263_,2.5
_0413_,2.5
_0459_,2.5
_0515_,2.5
_0517_,2.5
net108,2.5
_0010_,2.43
_0007_,2.38
_0011_,2.38
_0015_,2.38
_0030_,2.38
_0036_,2.38
_0043_,2.38
_0273_,2.3
_0359_,2.3
net94,2.3
_0021_,2.28
_0070_,2.28
_0087_,2.28
_0159_,2.28
_0507_,2.27
_0024_,2.23
_0025_,2.23
_0032_,2.23
_0038_,2.23
_0097_,2.205
_0054_,2.18
_0059_,2.18
_0074_,2.18
_0144_,2.18
_0295_,2.18
_0399_,2.18
_0419_,2.18
_0475_,2.18
_0495_,2.18
_0035_,2.16
_0062_,2.16
_0072_,2.16
_0073_,2.16
_0277_,2.16
_0280_,2.16
_0327_,2.16
_0364_,2.16
_0412_,2.16
_0493_,2.16
_0055_,2.115
_0107_,2.06
_0109_,2.06
_0113_,2.06
_0305_,2.06
_0372_,2.06
_0045_,2.04
_0415_,2.04
_0329_,1.92
_0067_,1.84
_0003_,1.82
_0018_,1.82
_0022_,1.82
_0044_,1.82
_0177_,1.72
_0179_,1.72
_0353_,1.72
_0400_,1.72
_0527_,1.72
_0532_,1.72
_0084_,1.7
_0092_,1.7
_0195_,1.7
_0225_,1.7
_0457_,1.7
manchester_baby_instance.BASE_0.s_countReg\[1\],1.7
manchester_baby_instance.BASE_1.s_derivedClock,1.7
_0318_,1.68
_0285_,1.6
_0438_,1.6
_0428_,1.56
_0380_,1.46
_0414_,1.46
_0518_,1.38
net88,1.38
_0001_,1.36
_0004_,1.36
_0005_,1.36
_0012_,1.36
_0023_,1.36
_0026_,1.36
_0046_,1.36
_0047_,1.36
_0057_,1.36
_0094_,1.36
_0198_,1.26
_0521_,1.26
manchester_baby_instance.BASE_1.s_bufferRegs\[0\],1.26
_0083_,1.085
_0099_,0.92
_0426_,0.92
_0488_,0.92
net85,0.92
net99,0.92
_0243_,0.8
_0272_,0.8
_0334_,0.8
_0538_,0.46
